SI Metric Conversion Factors _x000D_,
ft×3.048 E-01 _x000D_,   = m _x000D_
psi×6.894757 E+00 _x000D_,  = kPa _x000D_
bbl×1.589873 E-01 _x000D_,3 _x000D_  = m _x000D_
scf/bbl × 1.801175 E-0 _x000D_,  = sm3/m3 _x000D_
acre × 4.046856 E+03 _x000D_,2 _x000D_= m _x000D_
