Summary of Kern River Fluid Properties _x000D_,,,,,
Sample _x000D_,Source _x000D_,"Density, f!.}cc"" _x000D_","Gravity, oAPJ _x000D_",Molecular Weight _x000D_,"Viscosity, cpo _x000D_"
KR Station 36 _x000D_,KR Field _x000D_,0.9710 _x000D_,13.0 _x000D_,458 _x000D_,10 000 _x000D_
KRAWT#6 _x000D_,KR Field _x000D_,0.9819 _x000D_,12.6 _x000D_,512 _x000D_,17 000 _x000D_
Condensate _x000D_,KR Field _x000D_,0.8700 _x000D_,33.0 _x000D_,190 _x000D_,3.5 _x000D_
