Property _x000D_,Condensate _x000D_,"300 ""F B07 _x000D_",300 °F B08 _x000D_,400°F B09 _x000D_,"400""FB10 _x000D_"
"p, g/cc _x000D_",0.870 _x000D_,0.87 _x000D_,0.86 _x000D_,0.856 _x000D_,0.86 _x000D_
Mo!Wt _x000D_,190 _x000D_,181 _x000D_,177 _x000D_,210 _x000D_,210 _x000D_
"u, co _x000D_",3.44 _x000D_,3.52 _x000D_,,5.12 _x000D_,
