Summary Results for Steam Distillation Runs _x000D_,,
,Steam Distillation Factor _x000D_,Steam Distillation Yield _x000D_
RunID _x000D_,Vw/Voi _x000D_,Vo/Voi _x000D_
B07 _x000D_,3.481 _x000D_,0.063 _x000D_
BOB _x000D_,4.599 _x000D_,0.108 _x000D_
B09 _x000D_,3.543 _x000D_,0.155 _x000D_
BIO _x000D_,3.800 _x000D_,0.141 _x000D_
B04 _x000D_,0.803 _x000D_,0.086 _x000D_
B05 _x000D_,1.995 _x000D_,0.110 _x000D_
B12 _x000D_,0.578 _x000D_,0.027 _x000D_
BBR#3 _x000D_,0.312 _x000D_,0.034 _x000D_
