Layer _x000D_,"k, mD _x000D_","φ, fraction _x000D_"
1 _x000D_,0.05 _x000D_,0.007 _x000D_
2 _x000D_,0.23 _x000D_,0.009 _x000D_
3 _x000D_,0.66 _x000D_,0.01 _x000D_
4 _x000D_,1.47 _x000D_,0.02 _x000D_
5 _x000D_,2.92 _x000D_,0.05 _x000D_
6 _x000D_,5.32 _x000D_,0.07 _x000D_
7 _x000D_,9.22 _x000D_,0.09 _x000D_
8 _x000D_,15.39 _x000D_,0.11 _x000D_
9 _x000D_,24.97 _x000D_,0.12 _x000D_
10 _x000D_,39.72 _x000D_,0.14 _x000D_
11 _x000D_,62.31 _x000D_,0.16 _x000D_
12 _x000D_,96.89 _x000D_,0.17 _x000D_
13 _x000D_,150.00 _x000D_,0.19 _x000D_
14 _x000D_,232.60 _x000D_,0.21 _x000D_
15 _x000D_,362.11 _x000D_,0.22 _x000D_
16 _x000D_,568.43 _x000D_,0.24 _x000D_
17 _x000D_,904.24 _x000D_,0.25 _x000D_
18 _x000D_,1466.39 _x000D_,0.27 _x000D_
19 _x000D_,2442.83 _x000D_,0.29 _x000D_
20 _x000D_,4232.16 _x000D_,0.31 _x000D_
21 _x000D_,7754.26 _x000D_,0.33 _x000D_
22 _x000D_,15391.23 _x000D_,0.36 _x000D_
23 _x000D_,34666.61 _x000D_,0.39 _x000D_
24 _x000D_,97955.21 _x000D_,0.42 _x000D_
25 _x000D_,472635.80 _x000D_,0.48 _x000D_
