Sw _x000D_, krw _x000D_, kro _x000D_
0.2 _x000D_,0 _x000D_, 0.97 _x000D_
0.25 _x000D_,0.003 _x000D_,0.94 _x000D_
0.35 _x000D_,0.028 _x000D_,0.83 _x000D_
0.4 _x000D_,0.069 _x000D_, 0.171 _x000D_
0.55 _x000D_,0.143 _x000D_,0.05 _x000D_
0.7 _x000D_,0.318 _x000D_, 0 _x000D_
1 _x000D_,0.318 _x000D_, 0 _x000D_
