Layer _x000D_,"k, mD _x000D_","φ, fraction _x000D_"
1 _x000D_,0.12 _x000D_,0.007 _x000D_
2 _x000D_,0.48 _x000D_,0.009 _x000D_
3 _x000D_,1.20 _x000D_,0.01 _x000D_
4 _x000D_,2.46 _x000D_,0.04 _x000D_
5 _x000D_,4.52 _x000D_,0.06 _x000D_
6 _x000D_,7.72 _x000D_,0.08 _x000D_
7 _x000D_,12.57 _x000D_,0.10 _x000D_
8 _x000D_,19.82 _x000D_,0.12 _x000D_
9 _x000D_,30.47 _x000D_,0.13 _x000D_
10 _x000D_,46.03 _x000D_,0.15 _x000D_
11 _x000D_,68.69 _x000D_,0.16 _x000D_
12 _x000D_,101.71 _x000D_,0.18 _x000D_
13 _x000D_,150.00 _x000D_,0.19 _x000D_
14 _x000D_,221.52 _x000D_,0.20 _x000D_
15 _x000D_,328.29 _x000D_,0.22 _x000D_
16 _x000D_,490.14 _x000D_,0.23 _x000D_
17 _x000D_,740.49 _x000D_,0.25 _x000D_
18 _x000D_,1138.06 _x000D_,0.26 _x000D_
19 _x000D_,1791.50 _x000D_,0.28 _x000D_
20 _x000D_,2919.90 _x000D_,0.30 _x000D_
21 _x000D_,5001.03 _x000D_,0.32 _x000D_
22 _x000D_,9196.66 _x000D_,0.34 _x000D_
23 _x000D_,18922.21 _x000D_,0.36 _x000D_
24 _x000D_,47616.10 _x000D_,0.40 _x000D_
25 _x000D_,192565.58 _x000D_,0.45 _x000D_
