Facies _x000D_,Type _x000D_,Nugget _x000D_,Dir. _x000D_Maj. _x000D_,Range _x000D_Maj. _x000D_,Min. _x000D_Range _x000D_,Range _x000D_Vert. _x000D_
2 _x000D_,Sph. _x000D_,0.047 _x000D_,N41E _x000D_,535 _x000D_,375 _x000D_,5 _x000D_
3 _x000D_,Sph. _x000D_,0.046 _x000D_,N21W _x000D_,750 _x000D_,390 _x000D_,2 _x000D_
4 _x000D_,Sph. _x000D_,0.13 _x000D_,N135E _x000D_,370 _x000D_,270 _x000D_,5 _x000D_
