Facies _x000D_,Type _x000D_,Nugget _x000D_,Dir. _x000D_Maj. _x000D_,Range _x000D_Maj. _x000D_,Min. _x000D_Range _x000D_,Range _x000D_Vert. _x000D_
2 _x000D_,Exp. _x000D_,0.01 _x000D_,N40E _x000D_,430 _x000D_,310 _x000D_,10 _x000D_
3 _x000D_,Exp. _x000D_,0.01 _x000D_,N10E _x000D_,640 _x000D_,475 _x000D_,9 _x000D_
4 _x000D_,Exp. _x000D_,0.01 _x000D_,N50E _x000D_,260 _x000D_,200 _x000D_,5 _x000D_
