Facies _x000D_,Type _x000D_,Nugget _x000D_,Dir. _x000D_Maj. _x000D_,Range _x000D_Maj. _x000D_,Min. _x000D_Range _x000D_,Range _x000D_Vert. _x000D_
2 _x000D_,Exp. _x000D_,0.01 _x000D_,N35E _x000D_,700 _x000D_,580 _x000D_,9 _x000D_
3 _x000D_,Exp. _x000D_,0.01 _x000D_,N35E _x000D_,640 _x000D_,425 _x000D_,8 _x000D_
4 _x000D_,Exp. _x000D_,0.01 _x000D_,N120E _x000D_,580 _x000D_,230 _x000D_,7 _x000D_
