Facies _x000D_,Type _x000D_,Nugget _x000D_,Dir. _x000D_Maj. _x000D_,Range _x000D_Maj. _x000D_,Min. _x000D_Range _x000D_,Range _x000D_Vert. _x000D_
2 _x000D_,Exp. _x000D_,0.01 _x000D_,N47E _x000D_,1365 _x000D_,615 _x000D_,8 _x000D_
3 _x000D_,Exp. _x000D_,0.01 _x000D_,N60E _x000D_,1065 _x000D_,610 _x000D_,10 _x000D_
4 _x000D_,Exp. _x000D_,0.01 _x000D_,N140E _x000D_,690 _x000D_,500 _x000D_,7 _x000D_
