acre _x000D_,X _x000D_,4.046 873 _x000D_,E+03 _x000D_,,2 _x000D_m_x000D_
acre-ft _x000D_,X _x000D_,1.233 489 _x000D_,E+03 _x000D_,,3 _x000D_m_x000D_
0API _x000D_,,141.5/(131.5+ _x000D_,0 API) _x000D_,,g/cm3 _x000D_
cp _x000D_,X _x000D_,1.0* _x000D_,E-03 _x000D_,= _x000D_,Pa·s _x000D_
cu ft _x000D_,X _x000D_,2.831 685 _x000D_,E-02 _x000D_,,3 _x000D_m_x000D_
m. _x000D_,X _x000D_,2.54* _x000D_,E+0l _x000D_,,mm _x000D_
op _x000D_,,(°F-32)/1.8 _x000D_,,,oc _x000D_
ft _x000D_,X _x000D_,3.048* _x000D_,E-01 _x000D_,= _x000D_,m _x000D_
lbm _x000D_,X _x000D_,4.535 924 _x000D_,E-01 _x000D_,,kg _x000D_
