,Area (acres) _x000D_,Number of Producing Wells _x000D_,Volume (acre-ft) _x000D_,Pattern Recovery _x000D_,
,,,,MMbbl _x000D_,bbl/acre-ft _x000D_
Producing Patterns with multiple wells _x000D_,466 _x000D_,47 _x000D_,"79,009 _x000D_",17.6 _x000D_,223 _x000D_.l85 _x000D_
Remainder of unit _x000D_,"2,144 _x000D_",93 _x000D_,"205,691 _x000D_",28.4 _x000D_,138 _x000D_
Unit total _x000D_,"2,610 _x000D_",140 _x000D_,"284,700 _x000D_",46.0 _x000D_,162 _x000D_
