Layer _x000D_,Perm (mD) _x000D_,Gross Thickness _x000D_(m) _x000D_,kH (mD.m) _x000D_
Zone 1 _x000D_,54 _x000D_,25 _x000D_,1350 _x000D_
Zone 2 _x000D_,10 _x000D_,37 _x000D_,370 _x000D_
Zone 3 _x000D_,1 _x000D_,12 _x000D_,12 _x000D_
Zone 4 _x000D_,20 _x000D_,12 _x000D_,240 _x000D_
